      1,          1.5,           0.,           0.
      2,          1.5,           0.,          27.
      3,          1.5,           0.,          24.
      4,          1.5,           0.,          21.
      5,          1.5,           0.,          18.
      6,          1.5,           0.,          15.
      7,          1.5,           0.,          12.
      8,          1.5,           0.,           9.
      9,          1.5,           0.,           6.
     10,          1.5,           0.,           3.
     11,   4.61268139,           0.,           0.
     12,   7.72536325,           0.,           0.
     13,   10.8380451,           0.,           0.
     14,   13.9507265,           0.,           0.
     15,   17.0634079,           0.,           0.
     16,   20.1760902,           0.,           0.
     17,   23.2887707,           0.,           0.
     18,    26.401453,           0.,           0.
     19,   29.5141335,           0.,           0.
     20,   29.5141335,           0.,           3.
     21,   29.5141335,           0.,           6.
     22,   29.5141335,           0.,           9.
     23,   29.5141335,           0.,          12.
     24,   29.5141335,           0.,          15.
     25,   29.5141335,           0.,          18.
     26,   29.5141335,           0.,          21.
     27,   29.5141335,           0.,          24.
     28,   29.5141335,           0.,          27.
     29,    26.401453,           0.,           3.
     30,    26.401453,           0.,           6.
     31,    26.401453,           0.,           9.
     32,    26.401453,           0.,          12.
     33,    26.401453,           0.,          15.
     34,    26.401453,           0.,          18.
     35,    26.401453,           0.,          21.
     36,    26.401453,           0.,          24.
     37,    26.401453,           0.,          27.
     38,   23.2887707,           0.,           3.
     39,   23.2887707,           0.,           6.
     40,   23.2887707,           0.,           9.
     41,   23.2887707,           0.,          12.
     42,   23.2887707,           0.,          15.
     43,   23.2887707,           0.,          18.
     44,   23.2887707,           0.,          21.
     45,   23.2887707,           0.,          24.
     46,   23.2887707,           0.,          27.
     47,   20.1760902,           0.,           3.
     48,   20.1760902,           0.,           6.
     49,   20.1760902,           0.,           9.
     50,   20.1760902,           0.,          12.
     51,   20.1760902,           0.,          15.
     52,   20.1760902,           0.,          18.
     53,   20.1760902,           0.,          21.
     54,   20.1760902,           0.,          24.
     55,   20.1760902,           0.,          27.
     56,   17.0634079,           0.,           3.
     57,   17.0634079,           0.,           6.
     58,   17.0634079,           0.,           9.
     59,   17.0634079,           0.,          12.
     60,   17.0634079,           0.,          15.
     61,   17.0634079,           0.,          18.
     62,   17.0634079,           0.,          21.
     63,   17.0634079,           0.,          24.
     64,   17.0634079,           0.,          27.
     65,   13.9507265,           0.,           3.
     66,   13.9507265,           0.,           6.
     67,   13.9507265,           0.,           9.
     68,   13.9507265,           0.,          12.
     69,   13.9507265,           0.,          15.
     70,   13.9507265,           0.,          18.
     71,   13.9507265,           0.,          21.
     72,   13.9507265,           0.,          24.
     73,   13.9507265,           0.,          27.
     74,   10.8380451,           0.,           3.
     75,   10.8380451,           0.,           6.
     76,   10.8380451,           0.,           9.
     77,   10.8380451,           0.,          12.
     78,   10.8380451,           0.,          15.
     79,   10.8380451,           0.,          18.
     80,   10.8380451,           0.,          21.
     81,   10.8380451,           0.,          24.
     82,   10.8380451,           0.,          27.
     83,   7.72536325,           0.,           3.
     84,   7.72536325,           0.,           6.
     85,   7.72536325,           0.,           9.
     86,   7.72536325,           0.,          12.
     87,   7.72536325,           0.,          15.
     88,   7.72536325,           0.,          18.
     89,   7.72536325,           0.,          21.
     90,   7.72536325,           0.,          24.
     91,   7.72536325,           0.,          27.
     92,   4.61268139,           0.,           3.
     93,   4.61268139,           0.,           6.
     94,   4.61268139,           0.,           9.
     95,   4.61268139,           0.,          12.
     96,   4.61268139,           0.,          15.
     97,   4.61268139,           0.,          18.
     98,   4.61268139,           0.,          21.
     99,   4.61268139,           0.,          24.
    100,   4.61268139,           0.,          27.
    101,           0.,           0.,           0.
    102,           1.,           0.,           0.
    103,          0.5,           0.,           0.
    104,           0.,           0.,           3.
    105,           0.,           0.,           6.
    106,           0.,           0.,           9.
    107,           0.,           0.,          12.
    108,           0.,           0.,          15.
    109,           0.,           0.,          18.
    110,           0.,           0.,          21.
    111,           0.,           0.,          24.
    112,           0.,           0.,          27.
    113,          0.5,           0.,           3.
    114,           1.,           0.,           3.
    115,          0.5,           0.,           6.
    116,           1.,           0.,           6.
    117,          0.5,           0.,           9.
    118,           1.,           0.,           9.
    119,          0.5,           0.,          12.
    120,           1.,           0.,          12.
    121,          0.5,           0.,          15.
    122,           1.,           0.,          15.
    123,          0.5,           0.,          18.
    124,           1.,           0.,          18.
    125,          0.5,           0.,          21.
    126,           1.,           0.,          21.
    127,          0.5,           0.,          24.
    128,           1.,           0.,          24.
    129,          0.5,           0.,          27.
